FirstIng,SecondIng,commonComp
1338.0,1197.0,43
1338.0,133.0,14
1338.0,1183.0,0
1338.0,1140.0,9
1338.0,64.0,19
1338.0,1428.0,50
1338.0,112.0,6
1338.0,260.0,55
1338.0,205.0,49
1338.0,1133.0,29
1338.0,516.0,4
1338.0,483.0,2
1338.0,361.0,41
1338.0,152.0,6
1338.0,1120.0,26
1338.0,296.0,46
1338.0,1382.0,0
1338.0,878.0,37
1338.0,590.0,16
1338.0,466.0,21
1338.0,1251.0,3
1338.0,1488.0,56
1338.0,638.0,4
1338.0,994.0,69
1338.0,652.0,48
1338.0,105.0,31
1338.0,18.0,5
1338.0,1469.0,12
1338.0,1232.0,15
1338.0,1370.0,13
385.0,1088.0,35
385.0,619.0,33
385.0,1320.0,12
385.0,19.0,49
385.0,248.0,65
385.0,417.0,45
385.0,1356.0,5
385.0,749.0,0
385.0,396.0,38
385.0,1216.0,14
385.0,735.0,11
385.0,1399.0,18
385.0,1197.0,40
385.0,133.0,13
385.0,1183.0,0
385.0,1140.0,8
385.0,64.0,15
385.0,1428.0,43
385.0,112.0,6
385.0,260.0,42
385.0,205.0,35
385.0,1133.0,21
385.0,516.0,4
385.0,483.0,2
385.0,361.0,30
385.0,152.0,5
385.0,1120.0,21
385.0,296.0,35
385.0,1382.0,0
385.0,878.0,24
385.0,590.0,16
385.0,466.0,20
385.0,1251.0,2
385.0,1488.0,44
385.0,638.0,4
385.0,994.0,50
385.0,652.0,31
385.0,105.0,26
385.0,18.0,5
385.0,1469.0,10
385.0,1232.0,16
385.0,1370.0,11
1088.0,619.0,31
1088.0,1320.0,6
1088.0,19.0,33
1088.0,248.0,42
1088.0,417.0,29
1088.0,1356.0,2
1088.0,749.0,0
1088.0,396.0,27
1088.0,1216.0,16
1088.0,735.0,12
1088.0,1399.0,11
1088.0,1197.0,35
1088.0,133.0,7
1088.0,1183.0,0
1088.0,1140.0,8
1088.0,64.0,14
1088.0,1428.0,42
1088.0,112.0,2
1088.0,260.0,29
1088.0,205.0,23
1088.0,1133.0,19
1088.0,516.0,4
1088.0,483.0,2
1088.0,361.0,18
1088.0,152.0,3
1088.0,1120.0,21
1088.0,296.0,31
1088.0,1382.0,0
1088.0,878.0,25
1088.0,590.0,11
1088.0,466.0,23
1088.0,1251.0,4
1088.0,1488.0,21
1088.0,638.0,4
1088.0,994.0,35
1088.0,652.0,18
1088.0,105.0,15
1088.0,18.0,3
1088.0,1469.0,10
1088.0,1232.0,14
1088.0,1370.0,13
619.0,1320.0,15
619.0,19.0,40
619.0,248.0,59
619.0,417.0,40
619.0,1356.0,9
619.0,749.0,1
619.0,396.0,49
619.0,1216.0,10
619.0,735.0,21
619.0,1399.0,31
619.0,1197.0,86
619.0,133.0,13
619.0,1183.0,2
619.0,1140.0,10
619.0,64.0,32
619.0,1428.0,155
619.0,112.0,5
619.0,260.0,45
619.0,205.0,31
619.0,1133.0,33
619.0,516.0,0
619.0,483.0,0
619.0,361.0,68
619.0,152.0,5
619.0,1120.0,40
619.0,296.0,37
619.0,1382.0,0
619.0,878.0,30
619.0,590.0,21
619.0,466.0,31
619.0,1251.0,2
619.0,1488.0,73
619.0,638.0,0
619.0,994.0,76
619.0,652.0,22
619.0,105.0,26
619.0,18.0,1
619.0,1469.0,12
619.0,1232.0,13
619.0,1370.0,14
1320.0,19.0,7
1320.0,248.0,12
1320.0,417.0,7
1320.0,1356.0,11
1320.0,749.0,0
1320.0,396.0,8
1320.0,1216.0,8
1320.0,735.0,8
1320.0,1399.0,14
1320.0,1197.0,19
1320.0,133.0,5
1320.0,1183.0,0
1320.0,1140.0,3
1320.0,64.0,6
1320.0,1428.0,21
1320.0,112.0,7
1320.0,260.0,11
1320.0,205.0,8
1320.0,1133.0,11
1320.0,516.0,0
1320.0,483.0,0
1320.0,361.0,9
1320.0,152.0,3
1320.0,1120.0,13
1320.0,296.0,8
1320.0,1382.0,0
1320.0,878.0,4
1320.0,590.0,12
1320.0,466.0,13
1320.0,1251.0,1
1320.0,1488.0,16
1320.0,638.0,0
1320.0,994.0,12
1320.0,652.0,5
1320.0,105.0,4
1320.0,18.0,0
1320.0,1469.0,2
1320.0,1232.0,2
1320.0,1370.0,1
19.0,248.0,102
19.0,417.0,115
19.0,1356.0,3
19.0,749.0,0
19.0,396.0,55
19.0,1216.0,12
19.0,735.0,11
19.0,1399.0,17
19.0,1197.0,41
19.0,133.0,15
19.0,1183.0,0
19.0,1140.0,8
19.0,64.0,13
19.0,1428.0,50
19.0,112.0,4
19.0,260.0,47
19.0,205.0,43
19.0,1133.0,24
19.0,516.0,4
19.0,483.0,2
19.0,361.0,40
19.0,152.0,4
19.0,1120.0,25
19.0,296.0,43
19.0,1382.0,0
19.0,878.0,32
19.0,590.0,17
19.0,466.0,18
19.0,1251.0,4
19.0,1488.0,60
19.0,638.0,4
19.0,994.0,65
19.0,652.0,48
19.0,105.0,32
19.0,18.0,7
19.0,1469.0,12
19.0,1232.0,16
19.0,1370.0,12
248.0,417.0,97
248.0,1356.0,5
248.0,749.0,0
248.0,396.0,75
248.0,1216.0,16
248.0,735.0,20
248.0,1399.0,28
248.0,1197.0,60
248.0,133.0,19
248.0,1183.0,1
248.0,1140.0,12
248.0,64.0,23
248.0,1428.0,70
248.0,112.0,5
248.0,260.0,64
248.0,205.0,54
248.0,1133.0,36
248.0,516.0,4
248.0,483.0,2
248.0,361.0,53
248.0,152.0,7
248.0,1120.0,34
248.0,296.0,65
248.0,1382.0,0
248.0,878.0,48
248.0,590.0,21
248.0,466.0,28
248.0,1251.0,4
248.0,1488.0,76
248.0,638.0,4
248.0,994.0,84
248.0,652.0,49
248.0,105.0,40
248.0,18.0,7
248.0,1469.0,14
248.0,1232.0,19
248.0,1370.0,13
417.0,1356.0,3
417.0,749.0,0
417.0,396.0,55
417.0,1216.0,12
417.0,735.0,11
417.0,1399.0,17
417.0,1197.0,40
417.0,133.0,15
417.0,1183.0,0
417.0,1140.0,8
417.0,64.0,13
417.0,1428.0,50
417.0,112.0,4
417.0,260.0,47
417.0,205.0,43
417.0,1133.0,24
417.0,516.0,0
417.0,483.0,0
417.0,361.0,40
417.0,152.0,4
417.0,1120.0,25
417.0,296.0,43
417.0,1382.0,0
417.0,878.0,32
417.0,590.0,17
417.0,466.0,18
417.0,1251.0,4
417.0,1488.0,60
417.0,638.0,0
417.0,994.0,61
417.0,652.0,44
417.0,105.0,30
417.0,18.0,5
417.0,1469.0,12
417.0,1232.0,16
417.0,1370.0,12
1356.0,749.0,0
1356.0,396.0,7
1356.0,1216.0,11
1356.0,735.0,3
1356.0,1399.0,7
1356.0,1197.0,9
1356.0,133.0,3
1356.0,1183.0,0
1356.0,1140.0,2
1356.0,64.0,3
1356.0,1428.0,11
1356.0,112.0,12
1356.0,260.0,7
1356.0,205.0,5
1356.0,1133.0,3
1356.0,516.0,0
1356.0,483.0,0
1356.0,361.0,7
1356.0,152.0,1
1356.0,1120.0,13
1356.0,296.0,6
1356.0,1382.0,0
1356.0,878.0,5
1356.0,590.0,13
1356.0,466.0,3
1356.0,1251.0,0
1356.0,1488.0,9
1356.0,638.0,0
1356.0,994.0,4
1356.0,652.0,2
1356.0,105.0,3
1356.0,18.0,0
